department,product_category,product_type,brand,name,initial_price,discounted_price,qty,customer_rating
Appliances,Laundry Appliances,Washer,Brand FF,"4.3cu ft 12-Cycle Top-Loading Washer, White",679.99000000000001,499.99000000000001,5,4.2999999999999998
Appliances,Laundry Appliances,Dryer,Brand FF,"7.0cu ft 13-Cycle Electric Dryer, White",679.99000000000001,499.99000000000001,5,4.5999999999999996
Appliances,Major Kitchen Appliances,Range/Stove/Oven,Brand FF,"30"" Built-In Single Electric Wall Oven, Stainless Steel",1169.99,799.99000000000001,5,4.5999999999999996
Appliances,Major Kitchen Appliances,Refrigerator,Brand FF,"24.7cu ft French Door Refrigerator, Black Stainless Steel",2564.9899999999998,1499.99,5,4.5
Appliances,Laundry Appliances,Dryer,Brand M,"7.2cu ft 3-Cycle Electric Dryer, White",629.99000000000001,429.99000000000001,5,4.5
Appliances,Laundry Appliances,Washer,Brand M,"4.2cu ft 11-Cycle Top-Loading Washer, White on White",656.99000000000001,429.99000000000001,5,4.4000000000000004
Appliances,Major Kitchen Appliances,Refrigerator,Brand M,"25.1cu ft Side-by-Side Refrigerator, Fingerprint Resistant, Stainless Steel",1619.99,1099.99,5,4.5999999999999996
Appliances,Major Kitchen Appliances,Range/Stove/Oven,Brand M,"5.3cu ft Slide-In Electric Range, Stainless Steel",1359.99,799.99000000000001,5,4.5999999999999996
Appliances,Major Kitchen Appliances,Range/Stove/Oven,Brand W,"6.3cu ft Slide-In Electric Range with ProBake Convection, Stainless Steel",1439.99,999.99000000000001,5,4.7000000000000002
Appliances,Major Kitchen Appliances,Range/Stove/Oven,Brand W,"30"" Combination Double Electric Convection Wall Oven with Built-In Microwave",3329.9899999999998,2199.9899999999998,5,4.2999999999999998
Appliances,Laundry Appliances,Washer,Brand X,"3.8cu ft 12-Cycle Top-Loading Washer, White",809.99000000000001,469.99000000000001,5,4.5
Appliances,Laundry Appliances,Washer,Brand FF,"3.8cu ft 12-Cycle Top-Loading Washer, White ",499.99000000000001,449.99000000000001,8,4.5
Appliances,Major Kitchen Appliances,Range/Stove/Oven,Brand FF,"5.1cu ft Freestanding Gas Range, Stainless Steel",629.99000000000001,449.99000000000001,8,4.4000000000000004
Appliances,Major Kitchen Appliances,Refrigerator,Brand FF,"26.8cu ft French Door Refrigerator, Stainless Steel",2474.9899999999998,1799.99,8,4.5
Appliances,Major Kitchen Appliances,Dishwasher,Brand L,"24"" Front Control Tall Tub Built-In Dishwasher, Stainless Steel",384.99000000000001,299.99000000000001,8,4.2999999999999998
Appliances,Major Kitchen Appliances,Range/Stove/Oven,Brand M,"5.0cu ft Freestanding Gas Range, Stainless Steel",719.99000000000001,499.99000000000001,8,4.5999999999999996
Appliances,Laundry Appliances,Washer,Brand R,"4.1cu ft 11-Cycle HE Top-Loading Washer, White",499.99000000000001,399.99000000000001,8,4.4000000000000004
Appliances,Laundry Appliances,Dryer,Brand W,"7.3cu ft 8-Cycle Electric Dryer, White",719.99000000000001,579.99000000000001,8,4.7000000000000002
Appliances,Laundry Appliances,Dryer,Brand W,"7.4cu ft 10-Cycle Smart Wi-Fi Enabled Electric Dryer, White",809.99000000000001,599.99000000000001,8,4.5999999999999996
Appliances,Major Kitchen Appliances,Refrigerator,Brand W,"27.8cu ft 4 Door French Door Refrigerator, PrintProof, InstaView Door-in-Door, Stainless",3149.9899999999998,2299.9899999999998,8,4.7000000000000002
Appliances,Major Kitchen Appliances,Microwave,Brand B,"1.6cu ft Over-the-Range Microwave, Black on Stainless",189.99000000000001,139.99000000000001,10,4.5999999999999996
Appliances,Major Kitchen Appliances,Dishwasher,Brand FF,"24"" Tall Tub Built-In Dishwasher, Monochromatic Stainless Steel",584.99000000000001,329.99000000000001,10,4.4000000000000004
Appliances,Vacuum Cleaners & Floor Care,Upright Vacuum,Brand I,Ball Animal 2 Bagless Upright Vacuum,499.99000000000001,299.99000000000001,10,4.7000000000000002
Appliances,Vacuum Cleaners & Floor Care,Upright Vacuum,Brand I,Ball Animal + Allergy Bagless Upright Vacuum,699.99000000000001,449.99000000000001,10,4.7000000000000002
Appliances,Vacuum Cleaners & Floor Care,Robot Vacuum,Brand J,App-Controlled Self-Charging Robot Vacuum,279.99000000000001,149.99000000000001,10,4.5
Appliances,Vacuum Cleaners & Floor Care,Robot Vacuum,Brand S,App-Controlled Self-Charging Robot Vacuum,499.99000000000001,279.99000000000001,10,4.2999999999999998
Appliances,Major Kitchen Appliances,Refrigerator,Brand W,"26.2cu ft French Door Smart Wi-Fi Enabled Refrigerator, PrintProof, Black Stainless",2204.9899999999998,1749.99,10,4.7000000000000002
Appliances,Vacuum Cleaners & Floor Care,Stick Vacuum,Brand CC,Bagless Cordless Pet Handheld/Stick Vacuum,249.99000000000001,169.99000000000001,15,4.4000000000000004
